gene_set,gene,ensembl_id,present_in_ahba,match_method,gene_weight,missing_handling
weighted,HSD3B7,ENSG00000099377,True,exact approved gene symbol,0.3309276401996612,included
weighted,CD38,ENSG00000004468,True,exact approved gene symbol,0.321556955575943,included
weighted,FAM171A1,ENSG00000148468,True,exact approved gene symbol,0.316009521484375,included
weighted,NRIP1,ENSG00000180530,True,exact approved gene symbol,0.3074838519096374,included
weighted,ERCC8,ENSG00000049167,True,exact approved gene symbol,0.3066307008266449,included
weighted,P2RY12,ENSG00000169313,True,exact approved gene symbol,0.3019077479839325,included
weighted,TMED5,ENSG00000117500,True,exact approved gene symbol,0.3018712401390075,included
weighted,MYLK2,ENSG00000101306,True,exact approved gene symbol,0.2965930700302124,included
weighted,VPS13C,ENSG00000129003,True,exact approved gene symbol,0.2877374291419983,included
weighted,FOXA1,ENSG00000129514,False,exact approved gene symbol,0.2858948707580566,excluded with identifier retained in audit
weighted,ZCWPW2,ENSG00000206559,True,exact approved gene symbol,0.2858431041240692,included
weighted,DGKQ,ENSG00000145214,True,exact approved gene symbol,0.2635650038719177,included
weighted,BCL2L1,ENSG00000171552,True,exact approved gene symbol,0.2567904889583587,included
weighted,MICU3,ENSG00000155970,True,exact approved gene symbol,0.2358701527118683,included
weighted,MIPOL1,ENSG00000151338,True,exact approved gene symbol,0.2262192219495773,included
weighted,C2CD4A,ENSG00000198535,True,exact approved gene symbol,0.2195565849542617,included
weighted,MCMBP,ENSG00000197771,True,exact approved gene symbol,0.1930699795484542,included
weighted,PDLIM2,ENSG00000120913,True,exact approved gene symbol,0.1904719173908233,included
weighted,INTS2,ENSG00000108506,True,exact approved gene symbol,0.1789993643760681,included
weighted,MED13,ENSG00000108510,True,exact approved gene symbol,0.1776958703994751,included
weighted,CYLD,ENSG00000083799,True,exact approved gene symbol,0.169330820441246,included
weighted,DCUN1D1,ENSG00000043093,True,exact approved gene symbol,0.163753792643547,included
weighted,RORA,ENSG00000069667,True,exact approved gene symbol,0.1622077226638794,included
weighted,DDRGK1,ENSG00000198171,True,exact approved gene symbol,0.1576443612575531,included
weighted,NDUFAF2,ENSG00000164182,True,exact approved gene symbol,0.1519088149070739,included
weighted,WNT3,ENSG00000108379,True,exact approved gene symbol,0.1518237739801406,included
weighted,BRIP1,ENSG00000136492,False,exact approved gene symbol,0.1487205922603607,excluded with identifier retained in audit
