disease,disease_id,gene_set,region_id,region,z_score,gene_set_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank,spatially_robust,n_spatial_permutations,donor_median_rank_percentile,donor_rank_iqr,donors_observed
Amyotrophic lateral sclerosis,als,broad,106,Cerebellum 7b R,-0.29543462557566436,0.9105651934806519,0.6881311868813119,0.9826443826205614,0.3118688131186881,94,False,10000,0.37716346153846153,0.3459134615384615,2
Amyotrophic lateral sclerosis,als,broad,107,Cerebellum 8 L,-0.16024842105689377,0.9105651934806519,0.6307369263073692,0.9826443826205614,0.3692630736926308,86,False,10000,0.43200992555831264,0.4089950372208437,6
Amyotrophic lateral sclerosis,als,broad,108,Cerebellum 8 R,2.2214439660356535,0.8544530162368379,0.006299370062993701,0.43465653434656537,0.9937006299370063,2,False,10000,0.6736778846153846,0.09555288461538469,2
Amyotrophic lateral sclerosis,als,broad,109,Cerebellum 9 L,0.25148081047394083,0.8544530162368379,0.43125687431256876,0.9017189190171891,0.5687431256874312,66,False,10000,0.25806451612903225,0.37777217741935487,5
Amyotrophic lateral sclerosis,als,broad,110,Cerebellum 9 R,-1.1304330731102017,0.9422948330166983,0.8787121287871212,0.9826443826205614,0.12128787121287876,122,False,10000,0.10829326923076923,0.030168269230769235,2
Amyotrophic lateral sclerosis,als,broad,111,Cerebellum 10 L,0.10377400550948655,0.8901055099969455,0.48495150484951505,0.9355091517875239,0.515048495150485,71,False,10000,0.1774193548387097,0.44578163771712165,3
Amyotrophic lateral sclerosis,als,broad,118,Vermis 8,0.5127034421789247,0.8544530162368379,0.2840715928407159,0.8867205587133594,0.7159284071592841,40,False,10000,0.8359375,0.09615384615384626,3
Amyotrophic lateral sclerosis,als,broad,119,Vermis 9,0.3766800792904668,0.8544530162368379,0.3885611438856114,0.8867205587133594,0.6114388561143886,59,False,10000,0.6269230769230769,0.21463341346153852,4
Amyotrophic lateral sclerosis,als,broad,121,Thal AV L,-0.23639858846262585,0.9105651934806519,0.6574342565743425,0.9826443826205614,0.3425657434256575,89,False,10000,0.4789081885856079,0.26817617866004956,4
Amyotrophic lateral sclerosis,als,broad,122,Thal AV R,0.5737797335149524,0.8544530162368379,0.2104789521047895,0.8835298288352983,0.7895210478952105,32,False,10000,0.5729567307692308,0.4114182692307692,2
Amyotrophic lateral sclerosis,als,broad,125,Thal VA L,-0.33442931732540887,0.9105651934806519,0.6937306269373062,0.9826443826205614,0.30626937306269375,95,False,10000,0.8515625,0.28858560794044663,5
Amyotrophic lateral sclerosis,als,broad,127,Thal VL L,0.697598210936442,0.8544530162368379,0.24517548245175483,0.8867205587133594,0.7548245175482452,36,False,10000,0.8725360576923077,0.14284371122828787,6
Amyotrophic lateral sclerosis,als,broad,128,Thal VL R,0.3971816491083978,0.8544530162368379,0.33236676332366766,0.8867205587133594,0.6676332366763323,50,False,10000,0.8524038461538461,0.039903846153846234,2
Amyotrophic lateral sclerosis,als,broad,129,Thal VPL L,-0.26663434720234414,0.9105651934806519,0.6765323467653235,0.9826443826205614,0.3234676532346765,91,False,10000,0.869727047146402,0.06178660049627782,6
