disease,disease_id,gene_set,cell_type,cell_type_class,marker_source,overlap,gene_count,background_count,effect_size,p_value,genes,fdr
Alzheimer disease,alzheimer,weighted,oligodendrocyte precursor cell,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,splatter,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,186,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,thalamic excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,LINGO2,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,choroid plexus epithelial cell,Ciliated cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,GPX3,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,MOBP,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,SOD1,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,LINGO2,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,LINGO2,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,oligodendrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,MOBP,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,pericyte,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,SH3RF1,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,upper-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,1,22,200,3.5527272727272727,0.24684311504378,LINGO2,0.9325184346098356
Amyotrophic lateral sclerosis,als,broad,Bergmann glia,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,CGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,astrocyte,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,central nervous system macrophage,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,deep-layer intratelencephalic,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,deep-layer near-projecting,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
Amyotrophic lateral sclerosis,als,broad,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,22,200,0.0,1.0,,1.0
