disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Bipolar disorder,bipolar,10021,15496,weighted,0.3899666309096094,56
Bipolar disorder,bipolar,10021,15697,broad,0.16716535349823372,57
Bipolar disorder,bipolar,10021,15697,stringent,0.40009259000063563,57
Bipolar disorder,bipolar,10021,15697,weighted,0.23828561589280745,57
Bipolar disorder,bipolar,10021,9861,broad,0.05746721593142907,123
Bipolar disorder,bipolar,10021,9861,stringent,0.45920345583961364,123
Bipolar disorder,bipolar,10021,9861,weighted,0.28617007066935923,123
Bipolar disorder,bipolar,12876,14380,broad,0.20129210539255846,58
Bipolar disorder,bipolar,12876,14380,stringent,0.33765693852268663,58
Bipolar disorder,bipolar,12876,14380,weighted,0.26495879739390965,58
Bipolar disorder,bipolar,12876,15496,broad,0.2897062303445374,55
Bipolar disorder,bipolar,12876,15496,stringent,0.27986688634081586,55
Bipolar disorder,bipolar,12876,15496,weighted,0.19710601715470127,55
Bipolar disorder,bipolar,12876,15697,broad,0.018779444402288223,55
Bipolar disorder,bipolar,12876,15697,stringent,0.245126119315849,55
Bipolar disorder,bipolar,12876,15697,weighted,0.10013681624236001,55
Bipolar disorder,bipolar,12876,9861,broad,0.06888647754004176,56
Bipolar disorder,bipolar,12876,9861,stringent,0.11159111632222093,56
Bipolar disorder,bipolar,12876,9861,weighted,-0.008177038890346922,56
Bipolar disorder,bipolar,14380,15496,broad,0.45687618348798825,57
Bipolar disorder,bipolar,14380,15496,stringent,0.5218040756026059,57
Bipolar disorder,bipolar,14380,15496,weighted,0.4029430712269045,57
Bipolar disorder,bipolar,14380,15697,broad,-0.186164772824469,57
Bipolar disorder,bipolar,14380,15697,stringent,0.27711738064763264,57
Bipolar disorder,bipolar,14380,15697,weighted,-0.10315914633447516,57
Bipolar disorder,bipolar,14380,9861,broad,0.2269922443647274,59
Bipolar disorder,bipolar,14380,9861,stringent,0.453673520612952,59
Bipolar disorder,bipolar,14380,9861,weighted,0.3206956915355722,59
Bipolar disorder,bipolar,15496,15697,broad,0.020990844496842572,56
Bipolar disorder,bipolar,15496,15697,stringent,0.4071810377209264,56
Bipolar disorder,bipolar,15496,15697,weighted,0.2257824759951871,56
Bipolar disorder,bipolar,15496,9861,broad,0.05212059607372464,55
Bipolar disorder,bipolar,15496,9861,stringent,0.3229587440793574,55
Bipolar disorder,bipolar,15496,9861,weighted,0.15166999927562202,55
Bipolar disorder,bipolar,15697,9861,broad,0.12532201313760802,59
Bipolar disorder,bipolar,15697,9861,stringent,0.29496551861807824,59
Bipolar disorder,bipolar,15697,9861,weighted,0.18248884856833442,59
Major depressive disorder,major_depression,10021,12876,broad,0.12426653852645134,56
Major depressive disorder,major_depression,10021,12876,stringent,0.12341328204955354,56
Major depressive disorder,major_depression,10021,12876,weighted,0.19771921929900238,56
Major depressive disorder,major_depression,10021,14380,broad,0.2863292531300111,59
Major depressive disorder,major_depression,10021,14380,stringent,0.19898116185928302,59
Major depressive disorder,major_depression,10021,14380,weighted,0.2914294567624124,59
Major depressive disorder,major_depression,10021,15496,broad,0.27925186814707614,56
Major depressive disorder,major_depression,10021,15496,stringent,0.41073890780669,56
Major depressive disorder,major_depression,10021,15496,weighted,0.3953354945527494,56
Major depressive disorder,major_depression,10021,15697,broad,0.16681647066615632,57
Major depressive disorder,major_depression,10021,15697,stringent,0.1638718645794917,57
Major depressive disorder,major_depression,10021,15697,weighted,0.17100209022668592,57
Major depressive disorder,major_depression,10021,9861,broad,0.16575349137608392,123
Major depressive disorder,major_depression,10021,9861,stringent,0.06428946512741818,123
Major depressive disorder,major_depression,10021,9861,weighted,0.13680486060343386,123
Major depressive disorder,major_depression,12876,14380,broad,0.12234362283015986,58
Major depressive disorder,major_depression,12876,14380,stringent,0.13657295325479218,58
Major depressive disorder,major_depression,12876,14380,weighted,0.1124423500254504,58
Major depressive disorder,major_depression,12876,15496,broad,0.21090893246809622,55
Major depressive disorder,major_depression,12876,15496,stringent,0.06264674812602923,55
Major depressive disorder,major_depression,12876,15496,weighted,0.18829714660044855,55
Major depressive disorder,major_depression,12876,15697,broad,0.17229001902690616,55
