gene_set_version,region_id,region_name,stage6_z,stage6_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank
broad,95,Cerebellum Crus1 L,0.7640918415517706,0.7490679503478223,0.28347165283471654,0.8898642050688548,0.7165283471652835,42
broad,96,Cerebellum Crus1 R,2.621497300359437e-05,0.9198545261752894,0.5202479752024798,0.9320486555995563,0.4797520247975202,70
broad,97,Cerebellum Crus2 L,-0.4454341961979597,0.9813167619408272,0.6616338366163383,0.9786744729782341,0.33836616338366166,93
broad,98,Cerebellum Crus2 R,-0.994236259916002,0.9936028619360286,0.8477152284771523,0.9791793547917935,0.1522847715228477,115
broad,101,Cerebellum 4 5 L,2.4789628734178266,0.2805719428057194,0.0334966503349665,0.799508284465671,0.9665033496650335,4
broad,102,Cerebellum 4 5 R,1.6402009249556266,0.4765123487651235,0.08869113088691132,0.799508284465671,0.9113088691130887,12
broad,103,Cerebellum 6 L,1.4189316247735786,0.5584809940058626,0.14778522147785222,0.8898642050688548,0.8522147785221478,21
broad,104,Cerebellum 6 R,0.2842210896454347,0.9198545261752894,0.41075892410758924,0.9320486555995563,0.5892410758924107,55
broad,105,Cerebellum 7b L,-1.2887961286210154,0.9936028619360286,0.8938106189381062,0.9791793547917935,0.1061893810618938,122
broad,106,Cerebellum 7b R,-0.2246991348247406,0.9304660443046604,0.6016398360163984,0.9366007219502769,0.39836016398360163,88
broad,107,Cerebellum 8 L,-1.3330552902129922,0.9936028619360286,0.8932106789321068,0.9791793547917935,0.10678932106789318,121
broad,108,Cerebellum 8 R,-1.1268032207920642,0.9936028619360286,0.8967103289671033,0.9791793547917935,0.10328967103289666,123
broad,109,Cerebellum 9 L,-0.5672903355284313,0.9936028619360286,0.7113288671132887,0.9791793547917935,0.2886711328867113,97
broad,110,Cerebellum 9 R,-0.131609464567576,0.9198545261752894,0.577042295770423,0.9320486555995563,0.422957704229577,83
broad,111,Cerebellum 10 L,1.6630799080488885,0.4765123487651235,0.0984901509849015,0.799508284465671,0.9015098490150985,17
broad,118,Vermis 8,0.339429782358341,0.9092305055208764,0.43575642435756423,0.9320486555995563,0.5642435756424358,58
broad,119,Vermis 9,-0.0333876482778158,0.9198545261752894,0.5393460653934606,0.9320486555995563,0.46065393460653936,73
broad,121,Thal AV L,-0.0298496695699455,0.9198545261752894,0.5309469053094691,0.9320486555995563,0.4690530946905309,72
broad,122,Thal AV R,-1.1667509572324997,0.9936028619360286,0.8786121387861214,0.9791793547917935,0.12138786121387857,119
broad,125,Thal VA L,-1.8053420808214455,0.9936028619360286,0.9619038096190381,0.9794991089126381,0.0380961903809619,135
broad,127,Thal VL L,-1.4852323540565064,0.9936028619360286,0.9055094490550945,0.9791793547917935,0.09449055094490555,125
broad,128,Thal VL R,1.290751922887338,0.6253283762532839,0.14708529147085292,0.8898642050688548,0.8529147085291471,20
broad,129,Thal VPL L,-1.0933993965747135,0.9936028619360286,0.8739126087391261,0.9791793547917935,0.12608739126087387,118
broad,130,Thal VPL R,-0.7876236636966939,0.9936028619360286,0.8041195880411959,0.9791793547917935,0.19588041195880412,105
broad,131,Thal IL L,-0.2604286019446393,0.9355154372203228,0.5952404759524048,0.9366007219502769,0.4047595240475952,87
broad,135,Thal MDm L,-0.0709293064353274,0.9198545261752894,0.5426457354264573,0.9320486555995563,0.45735426457354267,74
broad,136,Thal MDm R,0.848702054138154,0.7490679503478223,0.2420757924207579,0.8898642050688548,0.7579242075792421,33
broad,137,Thal MDl L,0.7731177656567818,0.7490679503478223,0.2556744325567443,0.8898642050688548,0.7443255674432556,36
broad,139,Thal LGN L,1.04239644356687,0.7132459167876316,0.20517948205179481,0.8898642050688548,0.7948205179482052,30
broad,140,Thal LGN R,-0.1620540791906443,0.9198545261752894,0.577942205779422,0.9320486555995563,0.422057794220578,85
broad,141,Thal MGN L,2.7716089914359068,0.1862813718628137,0.010698930106989302,0.799508284465671,0.9893010698930107,1
broad,143,Thal PuI L,0.6546651947836832,0.7490679503478223,0.29347065293470653,0.8898642050688548,0.7065293470652935,44
broad,144,Thal PuI R,-0.8523444134035102,0.9936028619360286,0.8395160483951605,0.9791793547917935,0.16048395160483953,111
broad,145,Thal PuM L,0.4647055958456326,0.8432779363573077,0.3357664233576642,0.9109794902862656,0.6642335766423357,50
broad,146,Thal PuM R,1.916495030703728,0.4765123487651235,0.0375962403759624,0.799508284465671,0.9624037596240376,5
broad,147,Thal PuA L,-1.898771159917915,0.9936028619360286,0.9653034696530347,0.9794991089126381,0.03469653034696529,136
broad,148,Thal PuA R,-1.0244557243861188,0.9936028619360286,0.8438156184381562,0.9791793547917935,0.15618438156184378,113
