region_id,region,robustness_rank,spatial_robustness_label,gene,gene_expression,l2g_score,weighted_contribution,regional_rank,top_driver
20,Frontal Sup Medial R,2,not_robust,C2CD4A,0.3346991780010976,0.2195565849542617,0.0015687861200278062,83,False
20,Frontal Sup Medial R,2,not_robust,DTX3L,0.581153689669579,0.1236892640590667,0.001534566207334533,84,False
20,Frontal Sup Medial R,2,not_robust,DCUN1D1,0.4315326162302823,0.163753792643547,0.0015085774756013724,85,False
20,Frontal Sup Medial R,2,not_robust,LRRK2,0.4760628719309758,0.1440357118844986,0.0014638518337645103,86,False
20,Frontal Sup Medial R,2,not_robust,NUCKS1,0.6620821053180975,0.1008259132504463,0.0014251042649791597,87,False
20,Frontal Sup Medial R,2,not_robust,WNT3,0.4377435818378014,0.1518237739801406,0.0014188033178896876,88,False
20,Frontal Sup Medial R,2,not_robust,SLC45A3,0.4463266334665104,0.1365202218294143,0.001300805647650731,89,False
20,Frontal Sup Medial R,2,not_robust,CNOT7,0.6432660598719069,0.0932418778538703,0.001280454865057141,90,False
20,Frontal Sup Medial R,2,not_robust,YARS2,0.4471550264836951,0.1202353090047836,0.0011477644426550885,91,False
20,Frontal Sup Medial R,2,not_robust,B3GALT1,0.704300039742106,0.0701578333973884,0.0010548640873078638,92,False
20,Frontal Sup Medial R,2,not_robust,ANK2,0.7275304155668858,0.0663385838270187,0.0010303386134669966,93,False
20,Frontal Sup Medial R,2,not_robust,UBOX5,0.5339005624160115,0.0885050073266029,0.001008766952425005,94,False
20,Frontal Sup Medial R,2,not_robust,SNX20,0.3633531818714778,0.1277837306261062,0.0009912133810190292,95,False
20,Frontal Sup Medial R,2,not_robust,CMC1,0.5082437140850156,0.0913318544626236,0.0009909618090264396,96,False
20,Frontal Sup Medial R,2,not_robust,MTMR7,0.6141117453274499,0.0743675380945205,0.0009749748964704346,97,False
20,Frontal Sup Medial R,2,not_robust,DCAF16,0.600669767320971,0.0746670886874198,0.0009574753841575485,98,False
20,Frontal Sup Medial R,2,not_robust,P4HTM,0.5374385517747086,0.0821254402399063,0.0009422565222463481,99,False
20,Frontal Sup Medial R,2,not_robust,NOL4,0.7173466841420432,0.0601187869906425,0.0009206656287100344,100,False
20,Frontal Sup Medial R,2,not_robust,CERS6,0.5741271914771252,0.0747304856777191,0.0009159432075513376,101,False
20,Frontal Sup Medial R,2,not_robust,COX4I2,0.4659807996423974,0.0888595879077911,0.0008839647411583875,102,False
20,Frontal Sup Medial R,2,not_robust,DR1,0.4824971676714092,0.0850554704666137,0.0008761120323318673,103,False
20,Frontal Sup Medial R,2,not_robust,DPM3,0.4178661652152862,0.0954490676522255,0.0008514742595259035,104,False
20,Frontal Sup Medial R,2,not_robust,FAM171A2,0.5410252056735709,0.0734663009643554,0.0008485321420513459,105,False
20,Frontal Sup Medial R,2,not_robust,CTF1,0.2965773671396258,0.1332284361124038,0.000843524227605101,106,False
