region_id,region_name,broad_mean_expression,stringent_mean_expression,weighted_mean_expression,n_broad_genes_present,n_stringent_genes_present,n_weighted_genes_present,atlas_label,broad_system,analysis_scale
96,Cerebellum Crus1 R,0.5331709850548261,0.5010434569901221,0.5221629538945339,123,34,123,Cerebellum_Crus1_R,cerebellum,raw_scale_analysis
97,Cerebellum Crus2 L,0.490045929762947,0.47115394431180907,0.4767164612426168,123,34,123,Cerebellum_Crus2_L,cerebellum,raw_scale_analysis
98,Cerebellum Crus2 R,0.5211412367810447,0.49810562882265935,0.5057922477355145,123,34,123,Cerebellum_Crus2_R,cerebellum,raw_scale_analysis
101,Cerebellum 4 5 L,0.5428256547085529,0.5345505872955645,0.5352320185483722,123,34,123,Cerebellum_4_5_L,cerebellum,raw_scale_analysis
102,Cerebellum 4 5 R,0.5486448756494278,0.5538036595318659,0.546460569928335,123,34,123,Cerebellum_4_5_R,cerebellum,raw_scale_analysis
103,Cerebellum 6 L,0.5177890320631001,0.5105799023113541,0.5098003105003065,123,34,123,Cerebellum_6_L,cerebellum,raw_scale_analysis
104,Cerebellum 6 R,0.4999076693772667,0.48708910890683027,0.48955910772397526,123,34,123,Cerebellum_6_R,cerebellum,raw_scale_analysis
105,Cerebellum 7b L,0.486873104909992,0.4582109130637338,0.4723463088976686,123,34,123,Cerebellum_7b_L,cerebellum,raw_scale_analysis
106,Cerebellum 7b R,0.4959918701310775,0.43965821601362476,0.4673181365836995,123,34,123,Cerebellum_7b_R,cerebellum,raw_scale_analysis
107,Cerebellum 8 L,0.496371293707437,0.47122526896372663,0.4861338506812239,123,34,123,Cerebellum_8_L,cerebellum,raw_scale_analysis
108,Cerebellum 8 R,0.4981490916733599,0.4854037085360568,0.493224825287667,123,34,123,Cerebellum_8_R,cerebellum,raw_scale_analysis
109,Cerebellum 9 L,0.48304854311991263,0.478813887575725,0.4735925573709019,123,34,123,Cerebellum_9_L,cerebellum,raw_scale_analysis
110,Cerebellum 9 R,0.48767565266477314,0.45084508401898876,0.47425354355847515,123,34,123,Cerebellum_9_R,cerebellum,raw_scale_analysis
111,Cerebellum 10 L,0.535895689268353,0.5413487633918714,0.5403654845621307,123,34,123,Cerebellum_10_L,cerebellum,raw_scale_analysis
118,Vermis 8,0.5259947618711901,0.5868566681472899,0.5671194217937651,123,34,123,Vermis_8,cerebellum,raw_scale_analysis
119,Vermis 9,0.49251267218345757,0.5411642507824866,0.5235319063820785,123,34,123,Vermis_9,cerebellum,raw_scale_analysis
121,Thal AV L,0.5220227960566357,0.5230470932562943,0.5267080462888307,123,34,123,Thal_AV_L,subcortex,raw_scale_analysis
122,Thal AV R,0.503147948314071,0.5273923416270613,0.5146483670730384,123,34,123,Thal_AV_R,subcortex,raw_scale_analysis
125,Thal VA L,0.5228920380739639,0.5488358448705258,0.5273649483800221,123,34,123,Thal_VA_L,subcortex,raw_scale_analysis
127,Thal VL L,0.5099115152451582,0.527745707814233,0.5176426990528391,123,34,123,Thal_VL_L,subcortex,raw_scale_analysis
128,Thal VL R,0.5281701056429762,0.5422980259981841,0.5335561285468248,123,34,123,Thal_VL_R,subcortex,raw_scale_analysis
129,Thal VPL L,0.5143902068362305,0.526427539384017,0.5159505854850184,123,34,123,Thal_VPL_L,subcortex,raw_scale_analysis
130,Thal VPL R,0.5306508287258311,0.5379277802643792,0.5371997716820919,123,34,123,Thal_VPL_R,subcortex,raw_scale_analysis
131,Thal IL L,0.5479696702290494,0.5389113840770459,0.5460547424570416,123,34,123,Thal_IL_L,subcortex,raw_scale_analysis
135,Thal MDm L,0.44916020340461427,0.47215150816843776,0.4599017176047808,123,34,123,Thal_MDm_L,subcortex,raw_scale_analysis
136,Thal MDm R,0.5138013877603812,0.5406140576903392,0.5197772706245656,123,34,123,Thal_MDm_R,subcortex,raw_scale_analysis
137,Thal MDl L,0.4961268226477405,0.519156996414769,0.5046708617422002,123,34,123,Thal_MDl_L,subcortex,raw_scale_analysis
139,Thal LGN L,0.5335024543312892,0.5375261381922602,0.5388801033099483,123,34,123,Thal_LGN_L,subcortex,raw_scale_analysis
140,Thal LGN R,0.5426463132109661,0.5626922755937647,0.5515590325476931,123,34,123,Thal_LGN_R,subcortex,raw_scale_analysis
141,Thal MGN L,0.5650683616066453,0.5764023667200997,0.5657313411498393,123,34,123,Thal_MGN_L,subcortex,raw_scale_analysis
143,Thal PuI L,0.5621284235664139,0.5656080088264694,0.5663553482550286,123,34,123,Thal_PuI_L,subcortex,raw_scale_analysis
144,Thal PuI R,0.5395538171419695,0.5557093813071374,0.5455636151710573,123,34,123,Thal_PuI_R,subcortex,raw_scale_analysis
