region_id,region_name,method,raw_scale_score,gene_standardized_score,raw_scale_label,standardized_scale_label,raw_vs_gene_standardized_pearson_r,primary_or_sensitivity
104,Cerebellum 6 R,broad,0.4999076693772667,-0.08471588046857455,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
105,Cerebellum 7b L,broad,0.486873104909992,-0.15419120180269125,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
106,Cerebellum 7b R,broad,0.4959918701310775,-0.10416412561104828,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
107,Cerebellum 8 L,broad,0.496371293707437,-0.08756509445055585,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
108,Cerebellum 8 R,broad,0.4981490916733599,-0.08283979129691763,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
109,Cerebellum 9 L,broad,0.48304854311991263,-0.18045067069264328,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
110,Cerebellum 9 R,broad,0.48767565266477314,-0.14294179602619483,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
111,Cerebellum 10 L,broad,0.535895689268353,0.17836878731623118,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
118,Vermis 8,broad,0.5259947618711901,0.2020222781387459,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
119,Vermis 9,broad,0.49251267218345757,-0.06740285706713381,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
121,Thal AV L,broad,0.5220227960566357,0.08393537649016498,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
122,Thal AV R,broad,0.503147948314071,-0.05716967907498648,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
125,Thal VA L,broad,0.5228920380739639,0.10879611828534996,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
127,Thal VL L,broad,0.5099115152451582,0.002536289999696273,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
128,Thal VL R,broad,0.5281701056429762,0.17004775447127124,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
129,Thal VPL L,broad,0.5143902068362305,0.04140752974647369,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
130,Thal VPL R,broad,0.5306508287258311,0.14905069321222567,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
131,Thal IL L,broad,0.5479696702290494,0.3106347186737891,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
135,Thal MDm L,broad,0.44916020340461427,-0.48665822114873614,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
136,Thal MDm R,broad,0.5138013877603812,0.03984625344758474,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
137,Thal MDl L,broad,0.4961268226477405,-0.10783243852172779,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
139,Thal LGN L,broad,0.5335024543312892,0.18455252735455088,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
140,Thal LGN R,broad,0.5426463132109661,0.2826469139294604,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
141,Thal MGN L,broad,0.5650683616066453,0.43537881160571007,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
143,Thal PuI L,broad,0.5621284235664139,0.393936882330516,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
144,Thal PuI R,broad,0.5395538171419695,0.19697760133736925,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
145,Thal PuM L,broad,0.5317578706636388,0.16708537958534983,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
146,Thal PuM R,broad,0.5258686480335911,0.13528086530026998,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
147,Thal PuA L,broad,0.531359877078257,0.15835444220077047,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
148,Thal PuA R,broad,0.5112707166959396,0.029671827610169416,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
153,ACC pre L,broad,0.47538841464782033,-0.24819153466744984,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
154,ACC pre R,broad,0.5341722630339706,0.19567830377770276,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
155,ACC sup L,broad,0.4868926404980335,-0.14966064049249508,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
156,ACC sup R,broad,0.5121914833963584,0.028098985091937312,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
157,N Acc L,broad,0.5146252791058787,0.058776091937396,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
158,N Acc R,broad,0.5221471174722748,0.10940076266638099,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
161,SN pc L,broad,0.5333927649823768,0.2150461404425351,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
