disease,disease_id,gene,ensembl_id,l2g_score,number_of_top_regions,mean_expression,mean_weighted_contribution,maximum_weighted_contribution,regions
Bipolar disorder,bipolar,FKBP2,ENSG00000173486,0.7054525017738342,10,0.48774120929786785,0.014758981769363088,0.019752000963644215,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,FADS1,ENSG00000149485,0.5374528169631958,10,0.5474006960106951,0.012619578700078227,0.01584151290216453,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,MAD1L1,ENSG00000002822,0.6833332180976868,9,0.5551367394372279,0.01627165288100544,0.02026317484766243,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L
Bipolar disorder,bipolar,ANK3,ENSG00000151150,0.5992709398269653,8,0.5508927068246795,0.01416085280833113,0.016665560252476487,Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,NMB,ENSG00000197696,0.5866870284080505,8,0.5260466233038226,0.01323822904647818,0.017838215274157156,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Temporal Mid L;Temporal Sup L
Bipolar disorder,bipolar,ADCY2,ENSG00000078295,0.903235673904419,7,0.47428691611312407,0.018375594297860582,0.023925955107031584,Cerebellum 6 R;Cerebellum Crus2 L;Fusiform R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,NFIA,ENSG00000162599,0.5874826312065125,7,0.5902959862702746,0.014875241634343252,0.018568982328612177,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R
Bipolar disorder,bipolar,MSRA,ENSG00000175806,0.5076113343238831,7,0.6538457352690215,0.014236583306778943,0.01693353446976324,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Putamen R;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,GNL3,ENSG00000163938,0.5377169251441956,7,0.5433543204786765,0.01253245052587375,0.018083468472708586,Cerebellum 7b L;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,GSDME,ENSG00000105928,0.4511840045452118,7,0.5578733781207114,0.010796636986886484,0.01178229754273877,Cerebellum 6 R;Cerebellum Crus2 R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,CUL4A,ENSG00000139842,0.425674706697464,4,0.635697001724337,0.011607192208009699,0.012107722826034843,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R
Bipolar disorder,bipolar,SRPK2,ENSG00000135250,0.4890321493148803,4,0.5495531782898793,0.011527796529995268,0.011854942125297176,Fusiform R;Lingual R;Temporal Mid L;Thal AV L
Bipolar disorder,bipolar,TRPT1,ENSG00000149743,0.4551531970500946,2,0.6330849871751072,0.01236000880447595,0.013994391145223127,Lingual R;Thal AV L
