disease,disease_id,gene_set,region,region_id,score,number_of_genes,analysis_scale
Parkinson disease,parkinson,stringent,Postcentral L,61,0.5018516506193043,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Postcentral R,62,0.48348256909661724,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Parietal Sup L,63,0.4896079331921829,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Parietal Sup R,64,0.422930469993673,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Parietal Inf L,65,0.5063495948394686,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Parietal Inf R,66,0.48340467002742643,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,SupraMarginal L,67,0.4874148737373016,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,SupraMarginal R,68,0.46826719767365854,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Angular L,69,0.512080627248074,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Angular R,70,0.4773035371099889,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Precuneus L,71,0.4790320370746552,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Precuneus R,72,0.48495281742534274,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Paracentral Lobule L,73,0.4838755674689472,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Paracentral Lobule R,74,0.500189799791479,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Caudate L,75,0.42403468256110527,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Caudate R,76,0.41801611642590436,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Putamen L,77,0.4494733662129226,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Putamen R,78,0.4858166873226811,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Pallidum L,79,0.5007762046882045,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Pallidum R,80,0.5213915463680369,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Heschl L,83,0.5230523493214848,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Heschl R,84,0.5198797029328239,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Sup L,85,0.5084625212991627,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Sup R,86,0.5027175608468436,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Pole Sup L,87,0.49568686956309993,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Pole Sup R,88,0.5287281131039654,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Mid L,89,0.501549484437007,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Mid R,90,0.5152055221665219,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Pole Mid L,91,0.5254015904869334,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Inf L,93,0.504282829401801,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Temporal Inf R,94,0.5229318451612299,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum Crus1 L,95,0.494223228272953,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum Crus1 R,96,0.5010434569901221,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum Crus2 L,97,0.47115394431180907,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum Crus2 R,98,0.49810562882265935,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 4 5 L,101,0.5345505872955645,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 4 5 R,102,0.5538036595318659,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 6 L,103,0.5105799023113541,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 6 R,104,0.48708910890683027,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 7b L,105,0.4582109130637338,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 7b R,106,0.43965821601362476,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 8 L,107,0.47122526896372663,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 8 R,108,0.4854037085360568,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 9 L,109,0.478813887575725,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 9 R,110,0.45084508401898876,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cerebellum 10 L,111,0.5413487633918714,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Vermis 8,118,0.5868566681472899,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Vermis 9,119,0.5411642507824866,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal AV L,121,0.5230470932562943,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal AV R,122,0.5273923416270613,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal VA L,125,0.5488358448705258,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal VL L,127,0.527745707814233,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal VL R,128,0.5422980259981841,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal VPL L,129,0.526427539384017,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal VPL R,130,0.5379277802643792,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal IL L,131,0.5389113840770459,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal MDm L,135,0.47215150816843776,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal MDm R,136,0.5406140576903392,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal MDl L,137,0.519156996414769,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal LGN L,139,0.5375261381922602,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal LGN R,140,0.5626922755937647,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal MGN L,141,0.5764023667200997,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal PuI L,143,0.5656080088264694,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal PuI R,144,0.5557093813071374,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Thal PuM L,145,0.5542556513344211,34,raw_scale_analysis
