region,number_of_diseases_with_significant_enrichment,number_of_diseases_with_spatially_robust_enrichment,mean_z_score,maximum_z_score
Lingual L,0,0,0.34259975615764987,1.6548784231441271
SupraMarginal L,0,0,0.3363962530213259,2.2934442997893587
Frontal Sup 2 L,0,0,0.33485027138199663,1.465250837550306
Parietal Inf R,0,0,0.3208525109698318,2.010871037981067
Frontal Inf Tri L,0,0,0.2972583216782171,1.922761064305844
SN pr R,0,0,0.2944062637064196,1.8628886207646072
Rectus L,0,0,0.2915948573730829,2.5049994104090136
Lingual R,0,0,0.2697974256705583,1.4510461906788497
Temporal Mid L,0,0,0.269038386663506,1.9148406751897147
Parietal Sup L,0,0,0.25824786772418845,1.0849103074887203
Frontal Mid 2 L,0,0,0.2571397727717905,1.31409626317673
N Acc L,0,0,0.24631469507139475,2.516285649505399
OFCmed L,0,0,0.23531187717241542,2.0601362888256864
Frontal Sup Medial L,0,0,0.2322193527560185,1.2749833554088423
Cuneus L,0,0,0.22720160265458605,2.1151527533291548
Fusiform L,0,0,0.220738893962768,1.6104850131555792
ACC pre L,0,0,0.21697867368012097,1.1134367980483535
SN pc L,0,0,0.15805554610996383,2.4583785510859766
Raphe D,0,0,0.12521224005673365,1.8719536393012681
Frontal Med Orb L,0,0,0.11932673310423718,1.0059854257486962
Angular R,0,0,0.11511788942993344,2.275423820177138
Thal MGN L,0,0,0.11408825485922942,2.383839881049032
Temporal Inf L,0,0,0.10523707312726124,1.2341633950154483
Temporal Sup L,0,0,0.09746372587612635,2.0255029462679284
N Acc R,0,0,0.08413342014782517,2.2298117656837766
Cingulate Mid L,0,0,0.07805971133271308,1.7301977851209203
Parietal Inf L,0,0,0.05483266060972254,1.0843734270944643
Thal MDm R,0,0,0.024320400093707527,1.4921179130374307
Frontal Inf Oper L,0,0,0.012660385975160882,2.636753793056113
OFCpost L,0,0,0.012229199128502866,2.651608957917955
Occipital Sup L,0,0,0.011273025715683848,1.4835401098063017
Rolandic Oper L,0,0,0.007320074988819769,2.6797737256681997
Precuneus L,0,0,-0.015999613889398457,1.2521544552648392
Temporal Pole Sup L,0,0,-0.048369659207693136,1.4457440666092816
Thal PuA L,0,0,-0.07030688142122851,1.7287060469732882
Thal VL L,0,0,-0.07220889809132099,1.3977180022155444
Caudate L,0,0,-0.07960152108279524,1.585609358528029
OFCpost R,0,0,-0.08759480399181453,1.350811502483647
ParaHippocampal L,0,0,-0.0886694252142384,1.499690909686401
OFClat L,0,0,-0.09116756031351422,1.993498103832684
Caudate R,0,0,-0.09307657079902727,1.6936387114313831
Thal PuI L,0,0,-0.12858305990913216,0.9896718622897627
