region_id,region_name,atlas_label,hemisphere,structure,broad_system,anatomical_hierarchy,centroid_mni_x,centroid_mni_y,centroid_mni_z,total_assigned_samples,donors_with_samples,retained_in_main_matrix,coverage_status
127,Thal VL L,Thal_VL_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-13.366037735849062,-12.241509433962264,7.932075471698113,18,6,True,retained
128,Thal VL R,Thal_VL_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,12.826254826254825,-11.111969111969117,7.274131274131278,11,2,True,retained
129,Thal VPL L,Thal_VPL_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-17.700598802395206,-21.317365269461078,6.431137724550894,25,6,True,retained
130,Thal VPL R,Thal_VPL_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,16.849999999999994,-20.349999999999994,5.75,9,2,True,retained
131,Thal IL L,Thal_IL_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-9.803921568627445,-18.15686274509804,0.3529411764705941,9,5,True,retained
132,Thal IL R,Thal_IL_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,9.450980392156865,-17.33333333333333,0.07843137254901933,1,1,False,insufficient_coverage
133,Thal Re L,Thal_Re_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-6.0,-9.0,-3.0,1,1,False,insufficient_coverage
134,Thal Re R,Thal_Re_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,6.0,-10.0,-4.0,1,1,False,insufficient_coverage
135,Thal MDm L,Thal_MDm_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-4.717948717948715,-15.914529914529908,5.350427350427353,10,3,True,retained
136,Thal MDm R,Thal_MDm_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,4.173228346456696,-15.055118110236222,4.645669291338578,6,2,True,retained
137,Thal MDl L,Thal_MDl_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-7.666666666666671,-14.61904761904762,6.142857142857139,4,3,True,retained
138,Thal MDl R,Thal_MDl_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,7.166666666666671,-13.722222222222229,6.111111111111114,0,0,False,no_assigned_samples
139,Thal LGN L,Thal_LGN_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-22.279069767441854,-24.837209302325576,-4.558139534883722,10,5,True,retained
140,Thal LGN R,Thal_LGN_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,21.83333333333333,-24.58333333333333,-4.083333333333329,6,2,True,retained
141,Thal MGN L,Thal_MGN_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-15.555555555555557,-24.888888888888886,-4.555555555555557,3,2,True,retained
142,Thal MGN R,Thal_MGN_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,15.285714285714292,-24.42857142857143,-4.714285714285708,2,1,False,insufficient_coverage
143,Thal PuI L,Thal_PuI_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-17.470588235294116,-29.705882352941174,0.5882352941176521,3,2,True,retained
144,Thal PuI R,Thal_PuI_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,16.96969696969697,-28.848484848484844,0.6666666666666714,5,2,True,retained
