gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
GJD2,ENSG00000159248,0.2723180949687958,0.2723180949687958,0.2723180949687958,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PPP1R16B,ENSG00000101445,0.27216506004333496,0.27216506004333496,0.27216506004333496,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
EP300,ENSG00000100393,0.27127066254615784,0.27127066254615784,0.27127066254615784,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DOT1L,ENSG00000104885,0.27029114961624146,0.27029114961624146,0.27029114961624146,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TAOK2,ENSG00000149930,0.2625316381454468,0.2625316381454468,0.2625316381454468,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DCLK3,ENSG00000163673,0.26250025629997253,0.26250025629997253,0.26250025629997253,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KIF21B,ENSG00000116852,0.26130762696266174,0.26130762696266174,0.26130762696266174,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
HMOX2,ENSG00000103415,0.2592003345489502,0.2592003345489502,0.2592003345489502,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SERPING1,ENSG00000149131,0.2570663392543793,0.2570663392543793,0.2570663392543793,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
HNF1A,ENSG00000135100,0.2543693482875824,0.2543693482875824,0.2543693482875824,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DLX2,ENSG00000115844,0.25398707389831543,0.25398707389831543,0.25398707389831543,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ZDHHC5,ENSG00000156599,0.25313031673431396,0.25313031673431396,0.25313031673431396,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ARL5B,ENSG00000165997,0.251247376203537,0.251247376203537,0.251247376203537,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
