gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
VRK2,ENSG00000028116,0.7160412073135376,0.7160412073135376,0.7160412073135376,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
TCF4,ENSG00000196628,0.7127246856689453,0.7127246856689453,0.7127246856689453,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
YWHAE,ENSG00000108953,0.7121877074241638,0.7121877074241638,0.7121877074241638,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NLGN4X,ENSG00000146938,0.7107397317886353,0.7107397317886353,0.7107397317886353,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
HCN1,ENSG00000164588,0.7100124955177307,0.7100124955177307,0.6555134654045105,2,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CXXC5,ENSG00000171604,0.7099788784980774,0.7099788784980774,0.7099788784980774,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
PCDH17,ENSG00000118946,0.7077595591545105,0.7077595591545105,0.7077595591545105,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SPHKAP,ENSG00000153820,0.7075619101524353,0.7075619101524353,0.7075619101524353,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CACNA1I,ENSG00000100346,0.707277774810791,0.707277774810791,0.707277774810791,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NMUR2,ENSG00000132911,0.7071672081947327,0.7071672081947327,0.7071672081947327,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CACNA1C,ENSG00000151067,0.706612765789032,0.706612765789032,0.706612765789032,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
