gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
GRAP2,ENSG00000100351,0.6586824059486389,0.6586824059486389,0.6586824059486389,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CD28,ENSG00000178562,0.6568283438682556,0.6568283438682556,0.6568283438682556,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SLC9B1,ENSG00000164037,0.6495015621185303,0.6495015621185303,0.6495015621185303,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TIMMDC1,ENSG00000113845,0.6387245059013367,0.6387245059013367,0.6387245059013367,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PUS10,ENSG00000162927,0.6357589364051819,0.6357589364051819,0.6357589364051819,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IQCB1,ENSG00000173226,0.6295946836471558,0.6295946836471558,0.6295946836471558,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
POU5F1B,ENSG00000212993,0.6254277229309082,0.6254277229309082,0.6254277229309082,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MARCHF1,ENSG00000145416,0.6251457333564758,0.6251457333564758,0.6251457333564758,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
EPS15L1,ENSG00000127527,0.6094679236412048,0.6094679236412048,0.6094679236412048,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZNF746,ENSG00000181220,0.6048853993415833,0.6048853993415833,0.6048853993415833,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RBM17,ENSG00000134453,0.5940462350845337,0.5940462350845337,0.5940462350845337,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RND3,ENSG00000115963,0.5934401154518127,0.5934401154518127,0.5934401154518127,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CEP57,ENSG00000166037,0.5890932679176331,0.5890932679176331,0.5890932679176331,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ADO,ENSG00000181915,0.5882932543754578,0.5882932543754578,0.5882932543754578,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
WWOX,ENSG00000186153,0.5798580050468445,0.5798580050468445,0.3208139333873987,2,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SATB1,ENSG00000182568,0.5772417783737183,0.5772417783737183,0.5772417783737183,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MTHFR,ENSG00000177000,0.5726155042648315,0.5726155042648315,0.5726155042648315,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RMI2,ENSG00000175643,0.5640090107917786,0.5640090107917786,0.5640090107917786,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
AFF1,ENSG00000172493,0.5621446967124939,0.5621446967124939,0.5621446967124939,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZNF438,ENSG00000183621,0.5597028732299805,0.5597028732299805,0.5597028732299805,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CENPO,ENSG00000138092,0.556157648563385,0.556157648563385,0.556157648563385,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MERTK,ENSG00000153208,0.5546613335609436,0.5546613335609436,0.5546613335609436,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MAP3K14,ENSG00000006062,0.5489070415496826,0.5489070415496826,0.5489070415496826,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZC3HAV1,ENSG00000105939,0.535385251045227,0.535385251045227,0.535385251045227,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TYMP,ENSG00000025708,0.5314750075340271,0.5314750075340271,0.5314750075340271,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RRAS2,ENSG00000133818,0.5299346446990967,0.5299346446990967,0.5299346446990967,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PTGER4,ENSG00000171522,0.5295009613037109,0.5295009613037109,0.5295009613037109,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BCL6,ENSG00000113916,0.5106785893440247,0.5106785893440247,0.5106785893440247,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
HHEX,ENSG00000152804,0.5106616020202637,0.5106616020202637,0.5106616020202637,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
